n,events,mid
8,0,7.1590800285
53,1,7.410698746773584
181,16,7.653847170198896
460,26,7.8917590929
766,73,8.134113422573106
937,108,8.379299825385273
994,114,8.622964440705232
866,112,8.867884681073903
642,74,9.118909271344236
383,39,9.365413840046998
273,41,9.615965689490842
184,28,9.862347804994565
113,18,10.113001882477876
60,10,10.363165728166667
41,6,10.608490571951219
19,3,10.85586919368421
17,0,11.104334158235293
12,4,11.342840115833333
9,3,11.596808434444446
3,0,11.949565886666667
3,0,12.154297513333333
5,1,12.356307791999999
1,0,12.96042538
